title,url,sourcecountry,language,seendate
  India - EU trade pact to better tech acces - The Times of India,https://timesofindia.indiatimes.com/business/india-business/india-eu-trade-pact-to-better-tech-access/articleshow/129738517.cms,India,English,20260322T203000Z
"Adobe appoints Shamik Basu as Vice President , Creative Products Group in India",https://bestmediainfo.com/mediainfo/mediainfo-marketing/adobe-appoints-shamik-basu-as-vice-president-creative-products-group-in-india-11254675,India,English,20260323T081500Z
India balancing act tested by Iran war | The Jerusalem Post,http://www.jpost.com/podcast/article-890805,Israel,English,20260322T170000Z
  Look forward to welcoming PM Modi in 2026 : Lavrov hails  time - tested  India - Russia ties,https://news.webindia123.com/news/Articles/World/20260323/4430602.html,India,English,20260323T131500Z
  Look forward to welcoming PM Modi in 2026 : Lavrov hails  time - tested  India - Russia ties,https://aninews.in/news/world/europe/look-forward-to-welcoming-pm-modi-in-2026-lavrov-hails-time-tested-india-russia-ties20260323173748/,India,English,20260323T124500Z
IIT Delhi Spinout DeepLase Raises ₹6 Crore Seed Round co - led by MGF Kavachh and Yali Capital,https://www.thehindubusinessline.com/brandhub/pr-release/iit-delhi-spinout-deeplase-raises-6-crore-seed-round-co-led-by-mgf-kavachh-and-yali-capital/article70764909.ece,India,English,20260323T091500Z
Publicis Production elevates Varun Shah to Global Creative Transformation Lead,https://bestmediainfo.com/mediainfo/advertising/publicis-production-elevates-varun-shah-to-global-creative-transformation-lead-11254445,India,English,20260323T081500Z
Union minister Ashwini Vaishnaw launches MyWaves alongside built - in TV tuner and advanced EPG,https://bestmediainfo.com/mediainfo/mediainfo-digital/union-minister-ashwini-vaishnaw-launches-mywaves-alongside-built-in-tv-tuner-and-advanced-epg-11256308,India,English,20260323T131500Z
TV9 Network announces 4th Edition of  What India Thinks Today  Summit 2026,https://bestmediainfo.com/mediainfo/television/tv9-network-announces-4th-edition-of-what-india-thinks-today-summit-2026-11254905,India,English,20260323T081500Z
Індія може відмовитися від російських Су - 57 : в Defense Express назвали причину,https://kontrakty.ua/article/285417,Ukraine,Ukrainian,20260322T180000Z
Why India holds the balance in a shifting global security triangle,https://economictimes.indiatimes.com/opinion/et-commentary/why-india-holds-the-balance-in-a-shifting-global-security-triangle/articleshow/129737356.cms,India,English,20260322T190000Z
"Lavrov : Russia Awaits PM Modi 2026 Visit , Hails Strong India Ties",https://www.newkerala.com/news/a/look-forward-welcoming-pm-modi-2026-lavrov-hails-470.htm,India,English,20260323T124500Z
Coal gasification key to India energy security : Union Minister G Kishan Reddy,https://aninews.in/news/national/general-news/coal-gasification-key-to-indias-energy-security-union-minister-g-kishan-reddy20260323084743/,India,English,20260323T043000Z
"Secretary ( West ) George calls on Iceland FM to discuss bilateral ties , implementation of India - EFTA TEPA",https://aninews.in/news/world/asia/secretary-west-george-calls-on-iceland-fm-to-discuss-bilateral-ties-implementation-of-india-efta-tepa20260322231502/,India,English,20260322T210000Z
"India , EU step up engagement to fast - track trade , tech talks",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-eu-step-up-engagement-to-fast-track-trade-tech-talks/articleshow/129738329.cms,India,English,20260322T203000Z
Coal gasification key to India energy security : Union Minister G Kishan Reddy,https://economictimes.indiatimes.com/industry/energy/power/coal-gasification-key-to-indias-energy-security-union-minister-g-kishan-reddy/articleshow/129744463.cms,India,English,20260323T064500Z
"Kyrgyz , Indian firms come to terms on energy projects",https://www.trend.az/business/4167844.html,Azerbaijan,English,20260323T063000Z
MiTAC Computing Accelerates AI Performance in the 33th Convergence India,https://portal.sina.com.hk/finance/finance-prnewswire/prnasia/2026/03/23/1633236/mitac-computing-accelerates-ai-performance-in-the-33th-convergence-india/,Hong Kong,English,20260323T061500Z
"Russia Reacts To NIA Arrest Of Ukrainians : भारत में यूक्रेनी नागरिकों की हिरासत पर रूस का बड़ा बयान , दूतावास की भूमिका पर उठाए सवाल",https://www.punjabkesari.com/top-news/russia-reacts-to-nia-arrest-of-ukrainians/,India,Hindi,20260322T173000Z
Thorium can help India achieve energy self - reliance if dependence shifts to electricity : Expert,https://aninews.in/news/world/asia/thorium-can-help-india-achieve-energy-self-reliance-if-dependence-shifts-to-electricity-expert20260322225646/,India,English,20260322T190000Z
